/home/hyohyeongjang/.conda/envs/commonRegion/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (6.0.0.post1)/charset_normalizer (3.4.3) doesn't match a supported version!
  warnings.warn(
step 12100: tokens=573228000/1000000000 (57.3%), loss=0.1003, FVU=0.0321, dead_frac=0.005, throughput=33958 tok/s, ETA=3.5h
step 12200: tokens=578017920/1000000000 (57.8%), loss=0.1005, FVU=0.0316, dead_frac=0.006, throughput=33962 tok/s, ETA=3.5h
step 12300: tokens=582828912/1000000000 (58.3%), loss=0.1029, FVU=0.0327, dead_frac=0.006, throughput=33967 tok/s, ETA=3.4h
step 12400: tokens=587594664/1000000000 (58.8%), loss=0.1152, FVU=0.0366, dead_frac=0.006, throughput=33970 tok/s, ETA=3.4h
step 12500: tokens=592375032/1000000000 (59.2%), loss=0.1097, FVU=0.0348, dead_frac=0.006, throughput=33974 tok/s, ETA=3.3h
step 12600: tokens=597126504/1000000000 (59.7%), loss=0.1068, FVU=0.0335, dead_frac=0.006, throughput=33978 tok/s, ETA=3.3h
step 12700: tokens=601867944/1000000000 (60.2%), loss=0.1105, FVU=0.0337, dead_frac=0.006, throughput=33982 tok/s, ETA=3.3h
step 12800: tokens=606598440/1000000000 (60.7%), loss=0.1028, FVU=0.0313, dead_frac=0.007, throughput=33986 tok/s, ETA=3.2h
step 12900: tokens=611318640/1000000000 (61.1%), loss=0.1077, FVU=0.0340, dead_frac=0.007, throughput=33991 tok/s, ETA=3.2h
step 13000: tokens=616057920/1000000000 (61.6%), loss=0.1057, FVU=0.0329, dead_frac=0.007, throughput=33995 tok/s, ETA=3.1h
step 13100: tokens=620821368/1000000000 (62.1%), loss=0.1045, FVU=0.0329, dead_frac=0.007, throughput=33998 tok/s, ETA=3.1h
step 13200: tokens=625582464/1000000000 (62.6%), loss=0.1027, FVU=0.0322, dead_frac=0.007, throughput=34002 tok/s, ETA=3.1h
step 13300: tokens=630307800/1000000000 (63.0%), loss=0.1108, FVU=0.0357, dead_frac=0.007, throughput=34006 tok/s, ETA=3.0h
step 13400: tokens=635013696/1000000000 (63.5%), loss=0.1071, FVU=0.0332, dead_frac=0.007, throughput=34009 tok/s, ETA=3.0h
step 13500: tokens=639765024/1000000000 (64.0%), loss=0.1049, FVU=0.0328, dead_frac=0.007, throughput=34013 tok/s, ETA=2.9h
step 13600: tokens=644557584/1000000000 (64.5%), loss=0.1015, FVU=0.0306, dead_frac=0.007, throughput=34016 tok/s, ETA=2.9h
step 13700: tokens=649376112/1000000000 (64.9%), loss=0.0967, FVU=0.0297, dead_frac=0.007, throughput=34020 tok/s, ETA=2.9h
step 13800: tokens=654164904/1000000000 (65.4%), loss=0.1024, FVU=0.0314, dead_frac=0.007, throughput=34024 tok/s, ETA=2.8h
step 13900: tokens=658917120/1000000000 (65.9%), loss=0.1066, FVU=0.0339, dead_frac=0.007, throughput=34028 tok/s, ETA=2.8h
step 14000: tokens=663724680/1000000000 (66.4%), loss=0.1068, FVU=0.0338, dead_frac=0.007, throughput=34031 tok/s, ETA=2.7h
step 14100: tokens=668465184/1000000000 (66.8%), loss=0.1053, FVU=0.0320, dead_frac=0.007, throughput=34032 tok/s, ETA=2.7h
step 14200: tokens=673218216/1000000000 (67.3%), loss=0.0978, FVU=0.0309, dead_frac=0.007, throughput=34035 tok/s, ETA=2.7h
step 14300: tokens=677882832/1000000000 (67.8%), loss=0.0996, FVU=0.0307, dead_frac=0.008, throughput=34038 tok/s, ETA=2.6h
step 14400: tokens=682642272/1000000000 (68.3%), loss=0.1062, FVU=0.0327, dead_frac=0.008, throughput=34041 tok/s, ETA=2.6h
step 14500: tokens=687359160/1000000000 (68.7%), loss=0.1069, FVU=0.0337, dead_frac=0.008, throughput=34044 tok/s, ETA=2.6h
step 14600: tokens=692142216/1000000000 (69.2%), loss=0.1074, FVU=0.0335, dead_frac=0.008, throughput=34047 tok/s, ETA=2.5h
step 14700: tokens=696924000/1000000000 (69.7%), loss=0.1034, FVU=0.0324, dead_frac=0.008, throughput=34050 tok/s, ETA=2.5h
step 14800: tokens=701682840/1000000000 (70.2%), loss=0.1031, FVU=0.0329, dead_frac=0.008, throughput=34053 tok/s, ETA=2.4h
